"review_title","review_verbatim","role","status","location","date","rating"
"Pnc","Love my branch manager and regional manager, because this is a small market its not any room for growth. They definitely expect way too much and do not like to give to employees.
  Alot of unprofessional people. Alot of cheifs not enough indians","Teller Supervisor Assistant","Current Employee","Chesapeake, VA","September 29, 2015","4.0"
"Very productive and busy","uplifting work place with associates, sometimes work could be overly  intense. Over all great leadership ideas, great medical benefits an 401k.","financial banker","Current Employee","whitehall OH","September 28, 2015","3.0"
"I enjoyed the people I worked with but that's mostly it.","The compensation is far below the norm for the same positions at competing companies. The employee turnover is very fast and it's quite impersonal. Even the interview was conducted as a group interview.","CSA","Former Employee","Canonsburg, PA","September 26, 2015","3.0"
"Professional work environment","PNC Bank is an extraordinary company to work for.  There are plenty of opportunities for promotion and you are always learning.","Customer Service","Former Employee","Cape May Court House, NJ","September 25, 2015","5.0"
"Fun Place to work","The most enjoyable part of the job was working alongside my co-workers and learning from them. There was always something new to learn.","Bank Teller","Former Employee","Seaford, DE","September 25, 2015","2.0"
"Enjoyed helping my Customers","I really enjoyed working for PNC Bank for 13 years and was very successful working in Default Management servicing the Private Client Group.  I broke records within PNC for the collections aspect to 97%!  Almost one (1) year ago, there was a freeze put on hiring and advancement, along with Corporate Re-Organization within the Company.  My expectations in growing within the Company was at a stands still.  I was in desperate need for a Career Change.","Loan Specialist III","Former Employee","Brecksville, OH","September 25, 2015","4.0"
"A good employer.","A well-managed company with a reasonable work/life balance.  Consistently exceeds earning targets.  The nation's sixth largest bank.","SVP","Current Employee","Pittsburgh, PA","September 25, 2015","4.0"
"strong sales skills required","This is a very strong company. Strong financial planning and sales skills are required. There are opportunities to grow to middle management in the area.","Branch Manager","Current Employee","Annapolis, MD","September 25, 2015","3.0"
"make credit decisions","Underwrite risk, recommend credit limits, structure and terms. Underwrite commercial client financial performance, recommend financial strategies for owners to improve efficiencies and margins. I have over 15 years working with commercial clients that I truly enjoy. The banking industry has drasticlly changed due to Dodd Frank and general regulations.","Vice President Senior Business Banker","Current Employee","Philadelphia, PA","September 24, 2015","3.0"
"Great Workplace","Great work place with lots of opportunities for advancement excellent training opportunities with good work and life balance.","IT Service Management Process Manager","Current Employee","Cleveland, Ohio","September 24, 2015","5.0"
